positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
15,2.772588722239781,4.25,1.6582280766035324,0,0,0,1,2009,TRUE,FALSE,FALSE,1,1,2,FALSE
14630,9.590897844378162,4.25,1.6582280766035324,21,3.091042453358316,0,1,2009,TRUE,TRUE,FALSE,2,1,3,TRUE
97,4.584967478670572,4.25,1.6582280766035324,0,0,0,1,2009,TRUE,TRUE,FALSE,1,1,3,FALSE
8,2.1972245773362196,4.25,1.6582280766035324,0,0,0,1,2009,TRUE,FALSE,FALSE,1,1,2,FALSE
435,6.077642243349034,4.25,1.6582280766035324,14,2.70805020110221,0,1,2009,TRUE,FALSE,FALSE,3,2,3,FALSE
1181,7.074963197966044,5.59,1.8855533485144158,0,0,0,1,2009,TRUE,FALSE,FALSE,2,1,3,TRUE
559,6.327936783729195,5.59,1.8855533485144158,0,0,0,1,2009,TRUE,FALSE,FALSE,3,1,3,FALSE
1847,7.521859252201629,6.99,2.0781907597781832,0,0,0,1,2009,TRUE,FALSE,FALSE,1,1,3,TRUE
1434,7.268920128193722,3.99,1.6074359097634274,0,0,0,1,2010,TRUE,FALSE,FALSE,2,1,3,TRUE
260,5.564520407322694,7.19,2.102913897864978,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
369,5.91350300563827,6.99,2.0781907597781832,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
259,5.560681631015528,6.99,2.0781907597781832,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
8204,9.01249900352419,6.99,2.0781907597781832,37,3.6375861597263857,0,1,2006,TRUE,TRUE,TRUE,5,1,3,TRUE
1394,7.240649694255466,9.99,2.39698576841553,0,0,0,1,2006,TRUE,TRUE,FALSE,3,1,3,TRUE
2578,7.8551570058813445,2.99,1.3837912309017721,0,0,0,1,2006,TRUE,FALSE,FALSE,3,1,3,TRUE
2641,7.879291485082271,5.99,1.944480556245719,0,0,0,1,2005,TRUE,FALSE,FALSE,1,1,3,TRUE
39,3.6888794541139363,2.99,1.3837912309017721,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,2,FALSE
184,5.220355825078324,5.99,1.944480556245719,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
121,4.804021044733257,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,TRUE,FALSE,1,1,3,FALSE
363721,12.804145118560022,6.99,2.0781907597781832,29,3.4011973816621555,0,1,2006,TRUE,TRUE,TRUE,11,2,3,TRUE
4,1.6094379124341003,5.99,1.944480556245719,0,0,0,1,2006,TRUE,FALSE,FALSE,1,3,1,FALSE
119,4.787491742782046,25.99,3.2954664270299134,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,2,FALSE
4,1.6094379124341003,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,2,FALSE
43,3.784189633918261,5.99,1.944480556245719,0,0,0,1,2006,TRUE,FALSE,FALSE,3,2,3,FALSE
57,4.060443010546419,7.99,2.196112848483529,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
77,4.356708826689592,6.99,2.0781907597781832,0,0,0,1,2008,TRUE,FALSE,FALSE,1,2,3,FALSE
31,3.4657359027997265,7.99,2.196112848483529,0,0,0,1,2008,TRUE,FALSE,FALSE,2,1,3,FALSE
11039,9.309280319831087,9.99,2.39698576841553,0,0,0,1,2007,TRUE,FALSE,FALSE,2,2,3,TRUE
106,4.672828834461906,7.99,2.196112848483529,0,0,0,1,2007,TRUE,FALSE,FALSE,3,2,3,FALSE
76,4.343805421853684,4.99,1.7900914121273581,0,0,0,1,2007,TRUE,FALSE,FALSE,3,2,3,FALSE
4772,8.470730317005897,0,0,0,0,18,1,2007,TRUE,FALSE,FALSE,5,3,3,TRUE
3485,8.156510226079966,9.99,2.39698576841553,0,0,16,1,2007,TRUE,FALSE,FALSE,4,1,3,TRUE
2849,7.955074273262696,9.99,2.39698576841553,0,0,16,1,2007,TRUE,FALSE,FALSE,3,1,3,TRUE
10270,9.237079669165805,0,0,0,0,0,1,2006,TRUE,TRUE,TRUE,3,1,3,TRUE
1243,7.126087273299125,9.99,2.39698576841553,0,0,18,1,2012,TRUE,FALSE,FALSE,1,1,3,TRUE
7806,8.962776046120291,8.99,2.301584592660462,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,TRUE
331,5.805134968916488,8.99,2.301584592660462,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
585,6.373319789577012,0,0,0,0,0,1,2007,TRUE,TRUE,TRUE,2,1,3,FALSE
259,5.560681631015528,9.99,2.39698576841553,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
1081,6.9865664594064265,3.99,1.6074359097634274,0,0,0,1,2010,TRUE,FALSE,FALSE,2,1,3,TRUE
102,4.634728988229636,3.99,1.6074359097634274,0,0,0,1,2011,TRUE,FALSE,FALSE,1,1,3,FALSE
170,5.14166355650266,3.99,1.6074359097634274,0,0,0,1,2011,TRUE,FALSE,FALSE,1,1,3,FALSE
246,5.5093883366279774,3.99,1.6074359097634274,0,0,0,1,2011,TRUE,FALSE,FALSE,4,1,3,FALSE
122,4.812184355372417,0,0,0,0,0,1,2006,TRUE,FALSE,FALSE,1,2,3,FALSE
8372,9.032767522204432,6.99,2.0781907597781832,67,4.219507705176107,0,1,2012,TRUE,FALSE,TRUE,8,3,3,TRUE
6392,8.762958920766726,7.19,2.102913897864978,0,0,0,1,2009,TRUE,FALSE,FALSE,4,1,3,TRUE
597,6.393590753950631,4.79,1.7561322915849038,0,0,0,1,2009,TRUE,TRUE,FALSE,2,1,3,FALSE
5684,8.645586406184636,7.19,2.102913897864978,0,0,0,1,2009,TRUE,TRUE,FALSE,5,1,3,TRUE
2020,7.611347717403621,7.19,2.102913897864978,0,0,0,1,2009,TRUE,TRUE,FALSE,5,1,3,TRUE
575,6.3561076606958915,4.79,1.7561322915849038,0,0,0,1,2009,TRUE,TRUE,FALSE,2,1,3,FALSE
29149,10.280210191778638,7.19,2.102913897864978,0,0,0,1,2009,TRUE,FALSE,FALSE,5,1,3,TRUE
272,5.60947179518496,7.19,2.102913897864978,0,0,0,1,2009,TRUE,FALSE,FALSE,7,5,3,FALSE
115,4.7535901911063645,4.79,1.7561322915849038,0,0,0,1,2009,TRUE,FALSE,FALSE,2,1,3,FALSE
1749,7.4673710669175595,7.19,2.102913897864978,12,2.5649493574615367,0,1,2010,TRUE,TRUE,TRUE,5,2,3,TRUE
1025,6.933423025730715,3.99,1.6074359097634274,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,TRUE
91,4.5217885770490405,3.99,1.6074359097634274,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,FALSE
1977,7.589841512182657,4.99,1.7900914121273581,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,TRUE
460,6.133398042996649,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,2,2,3,FALSE
77,4.356708826689592,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,2,FALSE
588,6.3784261836515865,13.99,2.7073833121145063,0,0,0,1,2007,TRUE,FALSE,FALSE,1,2,3,FALSE
1152,7.050122520269059,5.99,1.944480556245719,0,0,0,1,2007,TRUE,FALSE,FALSE,1,3,3,TRUE
